fiscal_year,aag,total,program,appn_account,file,page,aargmer,acv_fov,ah64e_remanufacture,aim9x_block_ii,an_spy6v1,an_spy6v2,an_spy6v3,an_spy6v4,ampv,b52j,b52_rmp,booker,cec,ch47f_block_ii__materiel_availability,ch53k,circm,cvn_78,emals,ddg51,e2d_ahe,epf,esb,f15_epawss,f15_ex,f35a,f35c,f35b,f35_engine,ffg62,gator,gmlrs_aw,gps_iiif,hh60w,hms_radios,iamd,icbm_fuze_mod,idecm_block_4,f_a18e_f_irst,improved_turbine_engine,jagm,jassm_er,jltv,kc130j,kc46,lcs_mm,gbsd,lha,lpd_17,new_element,,mids,mk21a_rv,mq25,mq4c_triton_increment_1,mq4c_triton_increment_2,ngj_low_band,ngj_midband,nssl,lrasm,pac3_mse,pim,prsm,sdb_ii,sm6,ssbn_826,ssc,ssn_774_q1_fy21,apt,tagos_25,tao_205_class,nav_comm_upgrade_kits,mst_kits,vc25b,wsf
2010,,10,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,22,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,18,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,19,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,19,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,28,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,47,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,56,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,56,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,62,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,59,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,41,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,43,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,42,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,42,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,47,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,47,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,,48,F-35 Aircraft Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,101,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,,48,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,,48,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,,48,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,,48,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,,48,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,,48,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,,48,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,,34,Unknown Program,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,102,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,693,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,340,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,6,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,7,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,20,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,10,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,13,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,10,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,10,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,10,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,21,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,26,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,34,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,37,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,34,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,34,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,32,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,34,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,35,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,26,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,27,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,34,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,34,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,43,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,35,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,35,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,,40,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,,15,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,,15,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,,16,F-35 Aircraft Subprogram,"1506N - Aircraft Procurement, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,103,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,5,F-35 Engine Subprogram,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\F-35 MSAR Dec 2023.pdf,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,5,F-35 Engine Subprogram,"3600F - Research, Development, Test & Eval, AF",sar_pdfs\F-35 MSAR Dec 2023.pdf,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,9,F-35 Engine Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,9,F-35 Engine Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\F-35 MSAR Dec 2023.pdf,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"1,763",F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,2,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,6,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,7,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,10,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,22,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,18,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,19,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,19,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,28,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,47,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,48,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,56,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,56,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,62,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,59,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,41,F-35 Engine Subprogram,"3010F - Aircraft Procurement, Air Force",sar_pdfs\F-35 MSAR Dec 2023.pdf,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
