fiscal_year,other_unallocated,total_ty_dol_m,weighted_rate,program,appn_account,file,page,total_cy,base_year,end_item_recurring_flyaway,10_unit_level_manpower,30_maintenance,40_sustaining_support,50_continuing_system_improvements,nonend_item_recurring_flyaway,non_recurring_flyaway,initial_spares,20_unit_operations,depot_activation,other,10_unitlevel_manpower,nonend_end_item_item_non_recurring_recurring_recurring_depot_flyaway_flyaway_flyaway_initial_spares_activation,nonrecurring_flyaway,other_indirect_costs
2018,,,1.014969,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,,2018.0,,,,,,,,,,,,,,,
2019,0.748,0.7,1.038060,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,0.7,2018.0,,,,,,,,,,,,,,,
2020,0.792,0.8,1.066488,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,0.7,2018.0,,,,,,,,,,,,,,,
2021,1.721,1.7,1.118657,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.5,2018.0,,,,,,,,,,,,,,,
2022,1.760,1.8,1.174074,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.5,2018.0,,,,,,,,,,,,,,,
2023,1.834,1.8,1.216349,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.5,2018.0,,,,,,,,,,,,,,,
2024,1.930,1.9,1.245055,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2025,1.987,2.0,1.271641,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2026,2.030,2.0,1.298345,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2027,2.073,2.1,1.325611,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2028,2.117,2.1,1.353448,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2029,2.163,2.2,1.381871,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2030,2.209,2.2,1.410890,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2031,2.256,2.3,1.440519,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2032,2.304,2.3,1.470770,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2033,2.353,2.4,1.501656,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.6,2018.0,,,,,,,,,,,,,,,
2034,1.713,1.7,1.533191,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,1.1,2018.0,,,,,,,,,,,,,,,
2035,1.167,1.2,1.565388,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,0.7,2018.0,,,,,,,,,,,,,,,
2036,0.596,0.6,1.598261,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,0.4,2018.0,,,,,,,,,,,,,,,
2037,0.608,0.6,1.631824,Common Infrared Countermeasure,"2020A - Operation & Maintenance, Army",sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,35,0.4,2018.0,,,,,,,,,,,,,,,
Total,,,,System: CIRCM,Operating and Support Cost Elements,sar_pdfs\CIRCM_MSAR_Dec_2023_cleared.pdf,41,,,,,,,,,,,,,,,,,
Total,"4,885.1","4,885.1",,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,"3 , 8 50.8",2000.0,,,,,,,,,,,,,,,
1997,0.900,0.9,0.975795,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,0.9,2000.0,,,,,,,,,,,,,,,
1998,46.140,46.1,0.983787,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,46.9,2000.0,,,,,,,,,,,,,,,
1999,83.280,83.3,0.995370,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,83.7,2000.0,,,,,,,,,,,,,,,
2000,136.780,136.8,1.009939,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,135.4,2000.0,,,,,,,,,,,,,,,
2001,189.550,189.6,1.023796,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,185.1,2000.0,,,,,,,,,,,,,,,
2002,240.530,240.5,1.034144,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,232.6,2000.0,,,,,,,,,,,,,,,
2003,272.430,272.4,1.049304,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,259.6,2000.0,,,,,,,,,,,,,,,
2004,268.770,268.8,1.078595,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,249.2,2000.0,,,,,,,,,,,,,,,
2005,300.280,300.3,1.106983,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,271.3,2000.0,,,,,,,,,,,,,,,
2006,245.540,245.5,1.141476,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,215.1,2000.0,,,,,,,,,,,,,,,
2007,229.460,229.5,1.169435,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,196.2,2000.0,,,,,,,,,,,,,,,
2008,191.490,191.5,1.190767,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,160.8,2000.0,,,,,,,,,,,,,,,
2009,201.780,201.8,1.206057,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,167.3,2000.0,,,,,,,,,,,,,,,
2010,179.610,179.6,1.224147,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,146.7,2000.0,,,,,,,,,,,,,,,
2011,119.940,119.9,1.253376,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,95.7,2000.0,,,,,,,,,,,,,,,
2012,113.300,113.3,1.274163,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,88.9,2000.0,,,,,,,,,,,,,,,
2013,104.290,104.3,1.287542,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,81.0,2000.0,,,,,,,,,,,,,,,
2014,103.760,103.8,1.305735,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,79.5,2000.0,,,,,,,,,,,,,,,
2015,122.580,122.6,1.322164,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,92.7,2000.0,,,,,,,,,,,,,,,
2016,101.400,101.4,1.346704,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,75.3,2000.0,,,,,,,,,,,,,,,
2017,111.290,111.3,1.371901,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,81.1,2000.0,,,,,,,,,,,,,,,
2018,109.770,109.8,1.405505,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,78.1,2000.0,,,,,,,,,,,,,,,
2019,97.760,97.8,1.432575,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,68.2,2000.0,,,,,,,,,,,,,,,
2020,131.420,131.4,1.485257,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,88.5,2000.0,,,,,,,,,,,,,,,
2021,148.170,148.2,1.552010,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,95.5,2000.0,,,,,,,,,,,,,,,
2022,148.470,148.5,1.633091,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,90.9,2000.0,,,,,,,,,,,,,,,
2023,140.340,140.3,1.681709,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,83.5,2000.0,,,,,,,,,,,,,,,
2024,117.400,117.4,1.720098,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,68.3,2000.0,,,,,,,,,,,,,,,
2025,86.880,86.9,1.756587,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,49.5,2000.0,,,,,,,,,,,,,,,
2026,93.910,93.9,1.793475,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,52.4,2000.0,,,,,,,,,,,,,,,
2027,95.360,95.4,1.831138,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,52.1,2000.0,,,,,,,,,,,,,,,
2028,55.820,55.8,1.869592,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,29.9,2000.0,,,,,,,,,,,,,,,
2029,56.990,57.0,1.908853,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,29.9,2000.0,,,,,,,,,,,,,,,
2030,58.130,58.1,1.948939,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,29.8,2000.0,,,,,,,,,,,,,,,
2031,59.230,59.2,1.989867,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,29.8,2000.0,,,,,,,,,,,,,,,
2032,60.420,60.4,2.031654,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,29.7,2000.0,,,,,,,,,,,,,,,
2033,61.970,62.0,2.074319,CVN 78 Subprogram,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,58,29.9,2000.0,,,,,,,,,,,,,,,
Total,,"58,613.1",,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"3 1 , 1 80.8",2000.0,"53,928.6",,,,,,"4,684.6",,,,,,,,
1997,,,1.000788,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,,2000.0,,,,,,,,,,,,,,,
1998,,,1.023310,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,,2000.0,,,,,,,,,,,,,,,
1999,,,1.039587,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,,2000.0,,,,,,,,,,,,,,,
2000,,,1.066002,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,,2000.0,,,,,,,,,,,,,,,
2001,,21.7,1.102670,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,19.6,2000.0,21.660,,,,,,,,,,,,,,
2002,,135.3,1.108947,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,122.0,2000.0,135.340,,,,,,,,,,,,,,
2003,,395.5,1.173105,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,337.1,2000.0,243.700,,,,,,151.790,,,,,,,,
2004,,"1,162.9",1.215661,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,956.6,2000.0,955.190,,,,,,207.690,,,,,,,,
2005,,623.1,1.269544,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,490.8,2000.0,274.410,,,,,,348.660,,,,,,,,
2006,,618.9,1.314317,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,470.9,2000.0,241.580,,,,,,377.280,,,,,,,,
2007,,782.8,1.374711,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,569.4,2000.0,358.280,,,,,,424.470,,,,,,,,
2008,,"2,783.0",1.421534,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,957.7",2000.0,"1,774.590",,,,,,"1,008.380",,,,,,,,
2009,,"3,720.4",1.465021,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"2,539.5",2000.0,"3,661.600",,,,,,58.830,,,,,,,,
2010,,"1,195.6",1.515920,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,788.7,2000.0,942.690,,,,,,252.940,,,,,,,,
2011,,"2,498.8",1.565650,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,596.0",2000.0,"1,945.890",,,,,,552.920,,,,,,,,
2012,,640.8,1.601566,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,400.1,2000.0,532.630,,,,,,108.170,,,,,,,,
2013,,481.8,1.635063,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,294.7,2000.0,399.010,,,,,,82.810,,,,,,,,
2014,,"1,482.3",1.668173,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,888.6,2000.0,"1,214.950",,,,,,267.310,,,,,,,,
2015,,"1,748.8",1.706620,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,024.7",2000.0,"1,655.000",,,,,,93.804,,,,,,,,
2016,,"2,447.6",1.750262,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,398.4",2000.0,"2,314.100",,,,,,133.480,,,,,,,,
2017,,"2,489.7",1.800469,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,382.8",2000.0,"2,369.850",,,,,,119.810,,,,,,,,
2018,,"3,782.5",1.859118,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"2,034.6",2000.0,"3,662.830",,,,,,119.680,,,,,,,,
2019,,"1,683.9",1.928293,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,873.2,2000.0,"1,461.360",,,,,,222.500,,,,,,,,
2020,,"2,302.1",2.007751,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,146.6",2000.0,"2,283.770",,,,,,18.330,,,,,,,,
2021,,"2,692.6",2.088927,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,289.0",2000.0,"2,650.370",,,,,,42.190,,,,,,,,
2022,,"2,663.3",2.161868,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,232.0",2000.0,"2,621.860",,,,,,41.470,,,,,,,,
2023,,"2,727.0",2.212740,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,232.4",2000.0,"2,683.970",,,,,,43.070,,,,,,,,
2024,,"2,383.9",2.260209,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,054.7",2000.0,"2,374.940",,,,,,9.000,,,,,,,,
2025,,"2,033.6",2.307758,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,881.2,2000.0,"2,033.570",,,,,,,,,,,,,,
2026,,"3,053.4",2.356221,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,295.9",2000.0,"3,053.360",,,,,,,,,,,,,,
2027,,"4,048.9",2.405701,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,683.0",2000.0,"4,048.890",,,,,,,,,,,,,,
2028,,"4,438.0",2.456221,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,806.8",2000.0,"4,438.020",,,,,,,,,,,,,,
2029,,"2,870.3",2.507802,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,"1,144.5",2000.0,"2,870.260",,,,,,,,,,,,,,
2030,,284.1,2.560465,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,111.0,2000.0,284.120,,,,,,,,,,,,,,
2031,,123.3,2.614235,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,47.2,2000.0,123.300,,,,,,,,,,,,,,
2032,,248.1,2.669134,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,93.0,2000.0,248.140,,,,,,,,,,,,,,
2033,,49.3,2.725186,CVN 78 Subprogram,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,59,18.1,2000.0,49.330,,,,,,,,,,,,,,
Total,,51.1,,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,32.6,2000.0,51.1,,,,,,,,,,,,,,
1997,,,0.980961,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
1998,,,0.989285,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
1999,,,1.001756,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2000,,,1.015683,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2001,,,1.029289,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2002,,,1.043011,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2003,,,1.063631,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2004,,,1.089873,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2005,,,1.120559,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2006,,,1.157688,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2007,,,1.182889,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2008,,,1.202112,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2009,,,1.217959,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2010,,,1.241500,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2011,,,1.259653,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2012,,,1.279695,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2013,,,1.297218,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2014,,,1.314481,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2015,,,1.333437,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2016,,,1.357576,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,,2000.0,,,,,,,,,,,,,,,
2017,,4.5,1.386411,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,3.2,2000.0,4.490,,,,,,,,,,,,,,
2018,,12.0,1.418006,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,8.5,2000.0,12.010,,,,,,,,,,,,,,
2019,,7.9,1.452416,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,5.5,2000.0,7.940,,,,,,,,,,,,,,
2020,,1.4,1.503558,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,0.9,2000.0,1.410,,,,,,,,,,,,,,
2021,,4.5,1.577114,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,2.8,2000.0,4.460,,,,,,,,,,,,,,
2022,,2.5,1.644002,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,1.5,2000.0,2.480,,,,,,,,,,,,,,
2023,,2.5,1.691595,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,1.5,2000.0,2.470,,,,,,,,,,,,,,
2024,,2.4,1.729938,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,1.4,2000.0,2.430,,,,,,,,,,,,,,
2025,,2.5,1.766624,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,1.4,2000.0,2.470,,,,,,,,,,,,,,
2026,,2.7,1.803723,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,1.5,2000.0,2.650,,,,,,,,,,,,,,
2027,,2.7,1.841601,CVN 78 Subprogram,"1810N - Other Procurement, Navy",sar_pdfs\CVN 78 MSAR Dec 2023.pdf,60,1.5,2000.0,2.700,,,,,,,,,,,,,,
